Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
17/9/11,21:00,21.42,21.12,21.12,22.31,21.12,22.00,21.25,21.44,21.00
17/9/11,21:05,21.50,21.25,21.25,22.31,21.25,22.06,21.31,21.50,21.06
17/9/11,21:10,21.09,20.69,20.75,22.00,20.69,21.56,21.00,21.37,20.62
17/9/11,21:15,21.09,20.75,20.81,22.00,20.69,21.56,20.94,21.31,20.62
17/9/11,21:20,21.12,20.81,20.94,22.06,20.69,21.62,20.87,21.37,20.56
17/9/11,21:25,21.27,21.00,21.00,22.12,21.00,21.87,21.00,21.37,20.75
17/9/11,21:30,20.99,20.62,20.75,21.87,20.56,21.44,20.81,21.31,20.56
17/9/11,21:35,20.61,20.12,20.31,21.50,20.12,21.00,20.56,21.12,20.12
17/9/11,21:40,21.00,20.81,20.75,21.81,20.75,21.44,20.94,21.12,20.37
17/9/11,21:45,20.84,20.56,20.56,21.69,20.44,21.31,20.87,21.06,20.25
17/9/11,21:50,20.61,20.19,20.31,21.44,20.19,21.00,20.69,20.94,20.12
17/9/11,21:55,20.59,20.19,20.31,21.44,20.19,21.06,20.62,20.87,20.00
17/9/11,22:00,20.74,20.44,20.50,21.56,20.44,21.25,20.69,20.87,20.19
17/9/11,22:05,20.80,20.56,20.50,21.62,20.56,21.37,20.81,20.87,20.12
17/9/11,22:10,20.87,20.62,20.56,21.56,20.69,21.44,20.94,20.87,20.31
17/9/11,22:15,20.78,20.44,20.50,21.56,20.50,21.37,20.87,20.81,20.19
17/9/11,22:20,20.70,20.37,20.44,21.56,20.37,21.19,20.75,20.81,20.06
17/9/11,22:25,20.73,20.44,20.44,21.56,20.31,21.25,20.81,20.87,20.12
17/9/11,22:30,20.66,20.31,20.31,21.50,20.37,21.25,20.75,20.81,20.00
17/9/11,22:35,20.69,20.37,20.37,21.50,20.37,21.25,20.75,20.75,20.12
17/9/11,22:40,21.12,21.00,20.81,21.81,21.00,21.87,21.19,20.87,20.37
17/9/11,22:45,20.82,20.56,20.50,21.62,20.50,21.31,20.94,20.87,20.25
17/9/11,22:50,20.48,20.06,20.19,21.31,20.00,20.87,20.62,20.81,20.00
17/9/11,22:55,20.92,20.69,20.56,21.75,20.81,21.62,20.94,20.81,20.19
17/9/11,23:00,20.96,20.75,20.62,21.62,20.75,21.62,21.12,20.87,20.31
17/9/11,23:05,20.62,20.31,20.31,21.50,20.25,21.12,20.75,20.75,20.00
17/9/11,23:10,20.51,20.12,20.19,21.37,20.12,20.94,20.62,20.75,19.94
17/9/11,23:15,20.34,19.94,20.06,21.19,19.87,20.75,20.44,20.62,19.81
17/9/11,23:20,20.49,20.19,20.19,21.37,20.12,21.06,20.50,20.62,19.87
17/9/11,23:25,20.51,20.25,20.19,21.37,20.19,21.00,20.62,20.62,19.81
17/9/11,23:30,20.41,20.06,20.06,21.19,20.06,20.94,20.56,20.56,19.81
17/9/11,23:35,20.58,20.31,20.19,21.37,20.31,21.25,20.75,20.56,19.87
17/9/11,23:40,20.72,20.50,20.31,21.31,20.62,21.37,20.94,20.62,20.06
17/9/11,23:45,20.52,20.25,20.25,21.37,20.12,21.00,20.62,20.62,19.87
17/9/11,23:50,20.52,20.19,20.12,21.31,20.19,21.12,20.75,20.62,19.87
17/9/11,23:55,20.37,20.00,20.06,21.25,19.94,20.81,20.56,20.56,19.75
