Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18
17/9/17,15:15,21.57,21.50,21.56,21.56,21.69,21.69,21.69,21.31,21.62,21.75,21.50,21.81,21.50,21.56,21.37,21.37,21.37,21.37,22.00
17/9/17,15:20,21.62,21.56,21.62,21.62,21.75,21.69,21.75,21.37,21.69,21.81,21.56,21.87,21.56,21.62,21.37,21.44,21.44,21.44,22.00
17/9/17,15:25,21.64,21.56,21.69,21.62,21.75,21.69,21.75,21.44,21.62,21.87,21.62,21.81,21.62,21.62,21.44,21.50,21.50,21.44,22.00
17/9/17,15:30,21.64,21.56,21.69,21.62,21.75,21.62,21.75,21.44,21.56,21.87,21.62,21.81,21.62,21.62,21.44,21.50,21.50,21.50,21.94
17/9/17,15:35,21.63,21.56,21.69,21.62,21.75,21.62,21.75,21.44,21.56,21.81,21.62,21.81,21.62,21.56,21.44,21.50,21.50,21.50,21.94
17/9/17,15:40,21.62,21.56,21.69,21.62,21.75,21.62,21.75,21.44,21.50,21.81,21.62,21.75,21.62,21.56,21.44,21.50,21.56,21.50,21.94
17/9/17,15:45,21.62,21.56,21.69,21.62,21.69,21.62,21.75,21.44,21.50,21.81,21.62,21.75,21.62,21.56,21.44,21.50,21.56,21.50,21.87
17/9/17,15:50,21.61,21.56,21.69,21.62,21.69,21.62,21.75,21.44,21.50,21.75,21.62,21.69,21.62,21.62,21.44,21.50,21.56,21.50,21.87
17/9/17,15:55,21.62,21.56,21.69,21.62,21.69,21.62,21.75,21.44,21.50,21.81,21.62,21.75,21.62,21.62,21.44,21.50,21.56,21.50,21.87
17/9/17,16:00,21.64,21.56,21.69,21.62,21.69,21.62,21.75,21.44,21.56,21.81,21.62,21.75,21.69,21.62,21.50,21.50,21.56,21.50,21.94
17/9/17,16:05,21.65,21.62,21.69,21.62,21.75,21.62,21.75,21.50,21.56,21.81,21.62,21.75,21.69,21.62,21.50,21.50,21.56,21.50,22.00
17/9/17,16:10,21.66,21.62,21.69,21.69,21.75,21.62,21.75,21.50,21.56,21.81,21.62,21.81,21.69,21.62,21.50,21.50,21.56,21.56,22.00
17/9/17,16:15,21.66,21.62,21.69,21.69,21.75,21.62,21.75,21.50,21.56,21.81,21.62,21.75,21.69,21.62,21.50,21.56,21.56,21.56,22.00
17/9/17,16:20,21.67,21.62,21.69,21.69,21.75,21.62,21.75,21.50,21.56,21.87,21.62,21.75,21.69,21.69,21.56,21.56,21.62,21.56,21.94
17/9/17,16:25,21.69,21.62,21.75,21.69,21.75,21.62,21.81,21.50,21.62,21.87,21.69,21.81,21.75,21.69,21.56,21.56,21.62,21.56,22.00
17/9/17,16:30,21.71,21.69,21.75,21.69,21.75,21.69,21.81,21.56,21.62,21.87,21.69,21.81,21.75,21.69,21.56,21.56,21.62,21.62,22.00
