Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
2017-08-16,16:55,24.31,23.81,23.87,25.5,23.44,24.94
2017-08-16,17:00,23.91,23.56,23.75,24.44,23.44,24.37
2017-08-16,17:05,23.77,23.62,23.37,24.31,23.31,24.25
2017-08-16,17:05,23.84,23.62,23.44,24.37,23.44,24.31
2017-08-16,17:10,23.96,23.81,23.56,24.44,23.56,24.44
2017-08-16,17:15,23.82,23.75,23.37,24.31,23.37,24.31
2017-08-16,17:20,23.84,23.75,23.44,24.31,23.37,24.31
2017-08-16,17:25,23.74,23.69,23.31,24.25,23.25,24.19
2017-08-16,17:30,23.7,23.62,23.25,24.25,23.19,24.19
2017-08-16,17:35,23.71,23.69,23.25,24.25,23.19,24.19
2017-08-16,17:40,23.7,23.69,23.25,24.25,23.19,24.12
2017-08-16,17:45,23.7,23.69,23.25,24.25,23.19,24.12
2017-08-16,17:50,23.66,23.62,23.25,24.19,23.19,24.06
2017-08-16,17:55,23.67,23.56,23.31,24.19,23.19,24.12
2017-08-16,18:00,23.66,23.62,23.25,24.19,23.12,24.12
2017-08-16,18:05,23.65,23.56,23.25,24.19,23.19,24.06
2017-08-16,18:10,23.62,23.62,23.19,24.12,23.12,24.06
2017-08-16,18:15,23.49,23.56,23,24.06,22.94,23.87
2017-08-16,18:20,23.5,23.44,23.06,24,23,24
2017-08-16,18:25,23.46,23.5,23,23.94,22.94,23.94
2017-08-16,18:30,23.41,23.31,22.94,23.87,23,23.94
2017-08-16,18:35,23.26,23.31,22.69,23.69,22.81,23.81
2017-08-16,18:40,23.09,23.19,22.5,23.5,22.62,23.62
2017-08-16,18:45,23.02,23.06,22.44,23.5,22.56,23.56
2017-08-16,18:50,22.92,23,22.31,23.37,22.44,23.5
2017-08-16,18:55,22.91,23,22.31,23.31,22.44,23.5
2017-08-16,19:00,22.9,22.94,22.31,23.37,22.44,23.44
2017-08-16,19:05,22.85,22.87,22.19,23.25,22.44,23.5
2017-08-16,19:10,22.81,22.81,22.19,23.25,22.37,23.44
2017-08-16,19:15,22.86,22.81,22.25,23.37,22.44,23.44
2017-08-16,19:20,22.8,22.75,22.12,23.25,22.44,23.44
2017-08-16,19:25,22.8,22.75,22.12,23.25,22.44,23.44
2017-08-16,19:30,22.8,22.81,22.12,23.31,22.37,23.37
2017-08-16,19:35,22.86,22.75,22.19,23.44,22.5,23.44
2017-08-16,19:40,22.82,22.75,22.19,23.44,22.37,23.37
2017-08-16,19:45,22.8,22.69,22.19,23.44,22.31,23.37
2017-08-16,19:50,22.8,22.75,22.19,23.5,22.25,23.31
2017-08-16,19:55,22.74,22.62,22.12,23.37,22.25,23.31
2017-08-16,20:00,22.62,22.69,22,23.06,22.12,23.25
2017-08-16,20:05,22.72,22.62,22.12,23.25,22.31,23.31
2017-08-16,20:10,22.8,22.75,22.19,23.37,22.31,23.37
2017-08-16,20:15,22.79,22.69,22.25,23.37,22.31,23.31
